il,ad,kategori,etiketler,puan,yorum_sayisi,adres,telefon,fiyat,enlem,boylam,maps_url,foto_url,not
Erzincan,çağlayan Gül Restaurant,Restoran,Lokanta,4.3,847,"Şelale, Şelale Cd., 24002 Çağlayan/Erzincan Merkez/Erzincan",+90 446 235 25 25,2,39.5888856,39.713257399999996,https://maps.google.com/?cid=14495274554759879807,,
Erzincan,Hacegan mangalda ciğer & kebap salonu,Restoran,Kebap|Ciğer,4.6,349,"Atatürk, 353. Sk., 24180 Erzincan Merkez/Erzincan",+90 446 223 33 30,2,39.74767,39.493566,https://maps.google.com/?cid=16037316292518974583,,
Erzincan,Avlu 1919 - Çorba Ve Ev Yemekleri,Türk restoranı,Çorba|Sulu Yemek,4.8,158,"Karaağaç, 751. Sk. No: 4/C, 24100 Erzincan Merkez/Erzincan",+90 532 164 68 83,2,39.7443053,39.491365699999996,https://maps.google.com/?cid=10400469946212202674,,
Erzincan,Cumhuriyet Lokantası (Yöresel Ev Yemekleri & Esnaf Lokantası),Restoran,Et|Sulu Yemek,4.3,215,"Dörtyolağzı, Otopark Meydanı No:1, 24600 Kemaliye/Erzincan",+90 544 818 12 44,2,39.2625376,38.4964576,https://maps.google.com/?cid=14138011172321364542,,
Erzincan,MUTLU LEZZET DURAĞI,Restoran,Lokanta,4.6,126,"Mutlu lezzet durağı, Atatürk, Kırklar Cd. no: 31/A, 24000 Erzincan Merkez/Erzincan",+90 553 107 86 29,2,39.7495074,39.5003284,https://maps.google.com/?cid=17278790017819493615,,
Erzincan,Öz İstanbul Kır Pidesi,Orta Doğu Restoranı,Lahmacun & Pide,4.8,100,"Ordu Çarşısı, İnönü, Ordu Cd. No:29/z7, 24000 Erzincan Merkez/Erzincan",+90 536 719 02 25,2,39.749560699999996,39.491079299999996,https://maps.google.com/?cid=15887894368829050647,,
Erzincan,Lezzet Kebap Salonu,Kebap Restoranı,Kebap,4.6,77,"Karaağaç, 770. Sk. No:61, 24100 Erzincan Merkez/Erzincan",,,39.744240399999995,39.4976267,https://maps.google.com/?cid=8575014718013299009,,
Erzincan,Piknik Köfte Salonu,Restoran,Köfte,4.6,72,"Karaağaç, 770. Sk. No:67, 24100 Erzincan Merkez/Erzincan",+90 534 342 61 73,,39.744219,39.498047,https://maps.google.com/?cid=14363087679557775345,,
Erzurum,Eski Erzurum Evleri,Aile restoranı,Aile restoranı,4.3,7153,"İbrahim Paşa Mh, Yüzbaşı Reşit Bey Sokak, 25200 Yakutiye/Erzurum",+90 442 213 83 72,2,39.905614899999996,41.2757323,https://maps.google.com/?cid=8810189539093591055,,
Erzurum,COŞKUN GÜVEÇ DÜNYASI,Restoran,Lokanta,4.3,4032,"Kurtuluş Mahallesi 6. Demirciler Sokak No:12, Halkbankası Arkası, Yakutiye, Kurtuluş, 25200 Merkez/Erzurum",+90 442 242 23 57,2,39.927692799999996,41.283362800000006,https://maps.google.com/?cid=18446614367985262537,,
Erzurum,NEBİ USTA CAĞ KEBAP SALONU,Restoran,Kebap,4.7,1694,"Kazimkarabekir paşa mah kongre cad, Kazım Karabekir Paşa, Nazik Çarşısı Cd. No:7, 25100 Yakutiye/Erzurum",+90 535 788 68 24,2,39.9140776,41.277447099999996,https://maps.google.com/?cid=7028627575273728343,,
Erzurum,Gece Dönercisi Eren Usta,Restoran,Döner,4.7,1209,"Lalapaşa, Çaykara Cd. No:14 D:1B, 25100 Yakutiye/Erzurum",+90 442 233 82 62,2,39.9084796,41.2678551,https://maps.google.com/?cid=10519270659501357761,,
Erzurum,Çorbacı Halil Usta,Çorbacı,Çorba,4.4,1728,"Muratpaşa, Erzincan Kapı Sk. No:17 D:19, 25100 Yakutiye/Erzurum",,1,39.9051865,41.2712408,https://maps.google.com/?cid=9337513618975354208,,
Erzurum,Ankara Esat Aspava,Restoran,Lokanta,4.5,1443,"Bostancıoğlu Rezidans, Ömer Nasuhi Bilmen, Kombina Cd. Altı, 25200 Yakutiye/Erzurum",+90 543 177 23 25,2,39.913459499999995,41.2644148,https://maps.google.com/?cid=10633646535161710616,,
Erzurum,Günaydın Balık Köfte,Restoran,Köfte|Balık,4.7,650,"murat paşa mah. bahçe sok. birlik apt. no:1, Muratpaşa, 25100 Yakutiye/Erzurum",+90 530 773 52 25,2,39.9048096,41.27205,https://maps.google.com/?cid=5937421601414335756,,
Erzurum,Güzelyurt Restaurant,Restoran,Lokanta,4.3,528,"Muratpaşa, Cumhuriyet Cd. No:42, 25100 Yakutiye/Erzurum",+90 442 234 50 01,,39.905776599999996,41.272343899999996,https://maps.google.com/?cid=12530614260561316889,,
Erzurum,Adres Lokantası Erzurum,Restoran,Sulu Yemek,4.5,276,"Muratpaşa, Şerif Efendi Cd. No: 28, 25030 Yakutiye/Erzurum",+90 442 233 36 56,2,39.9046459,41.2714961,https://maps.google.com/?cid=4558253722500883529,,
Erzurum,Osmanağa Yemek Salonu,Orta Doğu Restoranı,Orta Doğu Restoranı,4.4,282,"Alipaşa Mahallesi, Mollaoğlu Sk. No:1, 25040 Yakutiye/Erzurum",+90 530 500 10 25,2,39.912527399999995,41.275607699999995,https://maps.google.com/?cid=15748223752173440031,,
Eskişehir,Köşem Lokantası,Restoran,Sulu Yemek,4.3,1709,"Zafer, Gazi Yakup Satar Cd. No:287, 26220 Tepebaşı/Eskişehir",+90 222 322 60 60,2,39.7947262,30.5331726,https://maps.google.com/?cid=13644264778368249724,,
Eskişehir,Şehri Kebap Eskişehir,Restoran,Kebap,4.9,685,"Gökmeydan, 19 Mayıs Cad No:104/A, 26100 Odunpazarı/Eskişehir",+90 536 377 98 91,2,39.7719042,30.539547400000004,https://maps.google.com/?cid=4328041458994909874,,
Eskişehir,Yıldız Lokantaları,Restoran,Sulu Yemek,4.6,734,"İhsaniye, Alanur Sk. No:5 D:A, 26120 Tepebaşı/Eskişehir",+90 222 232 24 38,1,39.7763475,30.5211339,https://maps.google.com/?cid=3925166215139997191,,
Eskişehir,Köfteci Gökmen Usta,Türk restoranı,Köfte,5,239,"İstiklal, Şair Fuzuli Cd. 56/A, 26010 Odunpazarı/Eskişehir",+90 507 599 13 43,2,39.774500499999995,30.514432799999998,https://maps.google.com/?cid=9500599832517056421,,
Eskişehir,Hüsnüniyet Lokantası-ÇARŞI,Restoran,Et|Sulu Yemek,4.3,576,"İstiklal, Konuk Sk. No:13, 26010 Eskişehir Merkez/Eskişehir",+90 222 234 29 93,1,39.7729736,30.516796799999995,https://maps.google.com/?cid=304754883942598168,,
Eskişehir,Mot Cağ Kebap,Restoran,Kebap,4.7,301,"Ertuğrulgazi, Bahadır Cd. No:6, 26010 Tepebaşı/Eskişehir",+90 506 754 07 34,2,39.7707049,30.479077499999995,https://maps.google.com/?cid=5124624706111728299,,
Eskişehir,Ender Kebap Salonu Eskişehir,Çok Amaçlı Salon,Kebap,4.6,282,"Arifiye, Korkmaz Sk. No:36, 26010 Odunpazarı/Eskişehir",+90 222 233 23 24,,39.773030899999995,30.519269500000004,https://maps.google.com/?cid=18332263431965619004,,
Eskişehir,SEZER OCAKBAŞI PİDE KEBAP,Restoran,Kebap,4.4,349,"Gökmeydan Mahallesi 19 Mayıs Caddesi No:248, Gökmeydan, Alyıldız Sk. No:17 D:A, 26080 Odunpazarı/Eskişehir",+90 222 237 02 32,2,39.770602499999995,30.5553443,https://maps.google.com/?cid=9018517287792655555,,
Gaziantep,Kelebek Restoran | Paça - Beyran - Kebap,Restoran,Kebap|Çorba,4.5,20627,"Alleben, Kemal Köker Cd. No:67/A, 27220 Şahinbey/Gaziantep",+90 342 230 96 33,2,37.0624979,37.3648922,https://maps.google.com/?cid=9771984244016876745,,
Gaziantep,Sakıp Usta Paça Beyran Kebap,Restoran,Kebap|Çorba,4.4,21694,"Alleben, Kemal Köker Cd. No:55 D:53, 27010 Şahinbey/Gaziantep",+90 342 220 18 19,2,37.0628981,37.3665787,https://maps.google.com/?cid=9847147108465700900,,
Gaziantep,Namık Baydar Sofrası,Restoran,Sulu Yemek,4.8,5918,"Batıkent, Kürşat Tüzmen Blv. No:21, 27560 Şehitkamil/Gaziantep",+90 507 045 72 72,2,37.075084,37.334240699999995,https://maps.google.com/?cid=15262205451322690105,,
Gaziantep,Yesemek Gaziantep Mutfağı,Restoran,Lokanta,4.3,9709,"Türktepe, Hamdi Kutlar Cd. No:51/1-B, 27400 Şahinbey/Gaziantep",+90 342 231 03 42,2,37.0632996,37.3853994,https://maps.google.com/?cid=11995836019919233470,,
Gaziantep,Ünal Et Lokantası,Restoran,Et|Sulu Yemek,4.4,7472,"1 ORGANİZE SANAYİ BÖLGESİ BAŞPINAR GAZİANTEP, Başpınar OSB, 27600 Şehitkamil/Gaziantep",+90 342 337 10 84,2,37.147906,37.2941907,https://maps.google.com/?cid=8124878636546834356,,
Gaziantep,Mutfak Sanatları Merkezi,Restoran,Lokanta,4.3,4927,"Sarıgüllük, Zübeyde Hanım Blv. No:39, 27400 Şehitkamil/Gaziantep",+90 342 777 76 76,2,37.064121199999995,37.351249599999996,https://maps.google.com/?cid=13263689926486430232,,
Gaziantep,Kasap Selçuk Usta,Kebap Restoranı,Kebap|Et,4.5,3157,"Yaprak, Abdullah Kepkep Sk., 27080 Şehitkamil/Gaziantep",+90 538 581 24 41,2,37.0678912,37.3805811,https://maps.google.com/?cid=10093984931789270226,,
Gaziantep,Şehr-i Küşleme Kebap Restoranı,Restoran,Kebap,4.7,1863,"Osmangazi, 27060 Şehitkamil/Gaziantep",+90 552 355 27 25,2,37.0646838,37.3345628,https://maps.google.com/?cid=5470316389631536933,,
Gaziantep,Eşgili Restoran | Yöresel Gaziantep Yemekleri,Restoran,Lokanta,4.6,1923,"Yaprak, Kep Kep Sok. No:4 D:A, 27080 Şehitkamil/Gaziantep",+90 501 000 19 27,2,37.0678255,37.3809914,https://maps.google.com/?cid=16639029458599551156,,
Gaziantep,Tadım Lokantası,Restoran,Sulu Yemek,4.4,2143,"Sanayi, Göllüce Cd., 27110 Şehitkamil/Gaziantep",+90 342 235 16 48,2,37.0830524,37.4320338,https://maps.google.com/?cid=7502650046720759054,,
Giresun,DD Çınaraltı (Çıtlakkale),Kebap Restoranı,Kebap,4.5,1044,"Çıtlakkale Mah. 120 No'lu Sk. No: 2, Çıtlakkale, D:1A, 28100 Giresun Merkez/Giresun",+90 454 505 59 59,2,40.907006200000005,38.366082999999996,https://maps.google.com/?cid=15031638588443377677,,
Giresun,DD Çınaraltı (Gedikkaya),Restoran,Lokanta,4.7,557,"GEDİKKAYA MAH. GAZİ MUSTAFA KEMAL BLV. MY GÜLEN HOME G BLOK NO:218 R, Gedikkaya, 28100 Giresun Merkez/Giresun",+90 454 222 50 50,2,40.9106052,38.425804299999996,https://maps.google.com/?cid=15857030604731539959,,
Giresun,Köz Cağ Kebap Giresun,Restoran,Kebap,4.6,436,"Teyyaredüzü, Aksel Sema Küçük Sokak No:4/ç, 28200 Giresun Merkez/Giresun",+90 535 200 06 86,2,40.9146761,38.3351101,https://maps.google.com/?cid=16104600347795156641,,
Giresun,Çamlıca Lokantası,Restoran,Sulu Yemek,4.5,298,"Nizamiye, Gazi Cd. Altın Han İş Hanı No:84/Z3, 28000 Giresun Merkez/Giresun",+90 454 212 71 94,2,40.916254099999996,38.3889959,https://maps.google.com/?cid=7123876922494717488,,
Giresun,Sandal Kebap,Restoran,Kebap,4.8,94,"Giresun, Teyyaredüzü, Boztekke Cd. 148 sok, 28100 Giresun Merkez/Giresun",+90 555 185 28 00,2,40.9144429,38.333198599999996,https://maps.google.com/?cid=16742311799977598352,,
Giresun,Liman Lokantası,Restoran,Sulu Yemek,4.6,93,"Sultan Selim, Eski Yağcılar Sk. No:18, 28100 Giresun Merkez/Giresun",+90 454 214 18 19,2,40.9178529,38.385017399999995,https://maps.google.com/?cid=6207419040277911134,,
Giresun,LOKANTA MAHIR 1968,Restoran,Sulu Yemek,4.3,50,"Çınarlar, Tepe Sk. No:2, 28100 Giresun Merkez/Giresun",,2,40.916354299999995,38.3901611,https://maps.google.com/?cid=13848254376735175201,,
Gümüşhane,Divan Sofrası 29,Restoran,Sulu Yemek,4.4,589,"Karaer, Hasan Bey Cd. No:18, 29000 Gümüşhane Merkez/Gümüşhane",+90 456 213 04 44,2,40.459177,39.4803964,https://maps.google.com/?cid=5899191346460262429,,
Gümüşhane,Asım baba Lokantası,Restoran,Sulu Yemek,4.3,319,"Cumhuriyet, Aydın Doğan Cd. No:96, 29600 Kelkit/Gümüşhane",+90 456 317 38 70,2,40.1302441,39.4362129,https://maps.google.com/?cid=17442703383112240174,,
Gümüşhane,YaBa Mantı,Aile restoranı,Mantı,4.8,93,"Karaer, Sebahattin Aytaç Cd. No:05, 29000 Gümüşhane Merkez/Gümüşhane",+90 533 207 39 29,2,40.459938199999996,39.4796707,https://maps.google.com/?cid=5173005470249966291,,
Hakkari,Hakkari Sofrası,Restoran,Sulu Yemek,4.3,236,"Bulak Mah. Altay Cad. Ptt Kargo Yanı Boyner aprt zemin kat Merkez/, Bulak, 30000 Hakkâri Merkez/Hakkari",+90 438 211 24 24,2,37.576024000000004,43.7372344,https://maps.google.com/?cid=10917008635834959799,,
Hakkari,Elif Kahvaltı Salonu,Kahvaltı restoranı,Kahvaltı,4.5,101,"şenler oteli altı, Gazi, Bulvar Cd. no36b, 30000 Hakkâri Merkez/Hakkari",+90 438 211 16 16,,37.578452999999996,43.7339154,https://maps.google.com/?cid=13843590509366332603,,
Hakkari,FIRAVÎN&ŞÎV,Restoran,Lokanta,4.9,58,"Bulak, Bulvar Cd. No:5, 30000 Hakkâri Merkez/Hakkari",+90 438 211 01 08,2,37.5774252,43.736175599999996,https://maps.google.com/?cid=10132288674553503519,,
Hatay,Humusçu Nedim Usta,Restoran,Lokanta,4.6,522,"Odabaşı, Gastronomi çarşısı no:3, 31070 Antakya/Hatay",+90 326 215 35 11,2,36.2298374,36.166687200000005,https://maps.google.com/?cid=2074566501315602483,,
Hatay,Umut Et Restaurant,Restoran,Et,4.7,206,"Sosyete Pazarı Yanı, Çekmece, Uğur Mumcu Cd., 31000 Defne/Hatay",+90 530 448 45 99,2,36.1958793,36.1462299,https://maps.google.com/?cid=9737722626150627331,,
Isparta,Uysal Aile Lokantası,Türk restoranı,Sulu Yemek,4.5,1240,"Pirimehmet, 1757. Sk., 32100 Isparta Merkez/Isparta",+90 246 218 60 36,2,37.764652,30.553388,https://maps.google.com/?cid=9271254533163700284,,
Isparta,Tepsi Gaziantep,Restoran,Lokanta,4.3,1003,"Fatih Mahallesi, Ertokuş Caddesi 4511 Sokak No:2/1 Merkez, Fatih, 32100 Merkez/Isparta",+90 246 227 76 76,2,37.781202,30.5411799,https://maps.google.com/?cid=1485507680614687404,,
Isparta,Yaşar Ustanın Yeri,Türk restoranı,Türk restoranı,4.5,491,"SANAYİ MAH. YENİ SANAYİ SİTESİ GÜLKENT DEVLET HASTANESİ ESKİ SSK KARŞISI YENİŞEHİR HASTANE 200M, Sanayi, 32100 Isparta Merkez/Isparta",+90 246 218 09 39,2,37.7742179,30.556162900000004,https://maps.google.com/?cid=258767605591439514,,
Isparta,Bizim Şehir Lokantası,Restoran,Sulu Yemek,4.8,262,"Kutlubey, 1008. Sk. No:15, 32040 Merkez/Isparta",+90 542 611 32 86,2,37.764739,30.555774000000003,https://maps.google.com/?cid=17432282813352337991,,
Isparta,01 ADANA SOFRASI ISPARTA,Restoran,Sulu Yemek,4.8,185,"Yeni Sanayi Sitesi 153. Cd. 1 Isparta Merkez, Sanayi, 32200 Burdur Merkez/Isparta",+90 507 566 00 01,2,37.7740831,30.555545399999996,https://maps.google.com/?cid=5965331956519158690,,
Isparta,Isparta Tabldot Yemek,Restoran,Lokanta,4.6,220,"Sanayi, 3333. Sk., 32200 Isparta Merkez/Isparta",+90 246 232 25 45,2,37.7889943,30.563661399999997,https://maps.google.com/?cid=3449417125628783051,,
Isparta,Şah Safran,Restoran,Lokanta,4.7,153,"Yedişehitler Mahallesi, Hilmi Çakmakçı caddesi, 219/A, ISPARTA/MERKEZ, Yedişehitler, 32000 Merkez/Isparta",+90 246 228 42 28,2,37.7779319,30.5396298,https://maps.google.com/?cid=15905672684178810255,,
Isparta,Bizim Lokanta,Restoran,Sulu Yemek,4.6,104,"Sanayi, 3309. Sk. No:27, 32200 Isparta Merkez/Isparta",+90 246 224 11 13,,37.7856048,30.562608299999994,https://maps.google.com/?cid=6393923911069984126,,
Isparta,NEW KEBAP PİDE LAHMACUN VE IZGARA SALONU,Restoran,Kebap|Lahmacun & Pide,4.5,68,"MUZAFFER TÜRKEŞ MAHALLESİ 215 CADDESİ NO77A25, Muzaffer Türkeş, 32100 merkez/Isparta",+90 532 798 87 32,2,37.778949,30.5217172,https://maps.google.com/?cid=2802822987795486204,,
Mersin,Mersin Hatay restaurant,Türk restoranı,Türk restoranı,4.3,7195,"İnönü Mahallesi, Adnan Menderes Bulvarı Dağıstan II Apartmanı 64/B, İnönü, 33130 Yenişehir/Mersin",+90 324 328 76 55,2,36.779469899999995,34.591465299999996,https://maps.google.com/?cid=11197185798095850402,,
Mersin,Sabah Et Lokantası Mezitli,Restoran,Et|Sulu Yemek,4.3,3021,"Menderes, Gazi Mustafa Kemal Blv. 306/A, 33330 Mezitli/Mersin",+90 324 502 29 29,2,36.7465806,34.5261443,https://maps.google.com/?cid=2652152844070945121,,
Mersin,Remzi Usta,Restoran,Lokanta,4.4,1305,"Bahçe, 4608. Sk., 33010 Akdeniz/Mersin",+90 324 336 01 26,2,36.798582599999996,34.6229429,https://maps.google.com/?cid=11928271183757670560,,
Mersin,Roof | 14 by DİVAN,Restoran,Lokanta,4.5,664,"Akkent, Gazi Mustafa Kemal Blv. No:612, 33200 Yenişehir/Mersin",+90 549 798 15 91,4,36.7664555,34.5550253,https://maps.google.com/?cid=5941554782008489879,,
Mersin,Mersin Destan Restaurant,Restoran,Lokanta,4.3,671,"Palmiye, 1214. Sk. altınoluk ap D:5/A, 33110 Yenişehir/Mersin",+90 543 325 40 48,2,36.7833477,34.6071799,https://maps.google.com/?cid=3283528897838221204,,
Mersin,MİSKET RESTAURANT,Restoran,Et,4.5,442,"Deniz, 19. Cadde NO:16, 33120 Yenişehir/Mersin",+90 530 642 21 33,,36.810647599999996,34.5635069,https://maps.google.com/?cid=14023514648670864019,,
Mersin,antepteyiz mersin,Restoran,Lokanta,4.5,354,"Güvenevler, Dumlupınar Cd. doğan yıldız iş merkezi D:22/C, 33140 Yenişehir/Mersin",+90 324 325 33 27,2,36.782708899999996,34.5870919,https://maps.google.com/?cid=7112397685508173862,,
Mersin,Birecikli Edip Usta,Restoran,Lokanta,4.6,261,"Güvenevler mah. 1903 sokak sandıklı Apt. Altı, Güvenevler, 33000 Yenişehir/Mersin",+90 544 652 22 73,2,36.7838802,34.593235,https://maps.google.com/?cid=8952190905669768381,,
Mersin,Dede Restaurant,Restoran,Lokanta,4.3,359,"Cami Şerif, 5207. Sk. No:5, 33060 Akdeniz/Mersin",+90 507 917 94 92,2,36.7988334,34.630312599999996,https://maps.google.com/?cid=15828474542135264274,,
Mersin,2tike,Aile restoranı,Aile restoranı,4.3,333,"Palmiye, 1214. Sk. No: 1/A, 33110 Yenişehir/Mersin",+90 324 999 64 70,2,36.7818153,34.6080568,https://maps.google.com/?cid=15733831019067624226,,
İstanbul,Gülhane Şark Sofrası,Türk restoranı,Sulu Yemek,4.8,2668,"Alemdar, Alayköşkü Cd. No:22, 34110 Fatih/İstanbul",,2,41.010702900000005,28.977706599999998,https://maps.google.com/?cid=3233183909435422335,,
İstanbul,Mahir Lokantası,Kebap Restoranı,Kebap|Sulu Yemek,4.4,4167,"Cumhuriyet, Tavukçu Fethi Sok. 28/B, 34380 Şişli/İstanbul",+90 212 234 93 94,2,41.0529279,28.9871923,https://maps.google.com/?cid=15609325489437873707,,
İstanbul,Buyruk Esnaf Lokantası | 1980'den Bugüne | Lezzet Adresi | Osmanlı Mutfağı | Sirkeci Lokanta,Restoran,Sulu Yemek,4.4,3931,"Hoca Paşa, Hocapaşa Camii Sok. No:12 D:12, 34112 Fatih/İstanbul",+90 542 118 00 37,2,41.013826699999996,28.9760457,https://maps.google.com/?cid=1588222413525053155,,
İstanbul,Hacı Abdullah Lokantası,Restoran,Sulu Yemek,4.4,2545,"Hüseyinağa, Atıf Yılmaz Cd. No:9/A, 34435 Beyoğlu/İstanbul",+90 212 293 85 61,2,41.0354047,28.980224999999997,https://maps.google.com/?cid=6085674526159171253,,
İstanbul,Lale Lokantası,Restoran,Sulu Yemek,4.4,1911,"Piri Paşa, Müze Sk. No:8, 34445 Beyoğlu/İstanbul",+90 212 369 49 49,2,41.0425034,28.950021500000002,https://maps.google.com/?cid=10576678593231074791,,
İstanbul,Beyoğlu Esnaf Lokantası,Restoran,Sulu Yemek,4.8,839,"Asmalı Mescit, Orhan Adlı Apaydın Sk. No:11/A, 34430 Beyoğlu/İstanbul",+90 533 055 92 62,2,41.0306092,28.9747095,https://maps.google.com/?cid=3552918629620379836,,
İstanbul,Hatice Anne Ev Yemekleri,Türk restoranı,Sulu Yemek,4.8,762,"Kuzguncuk, Kuzguncuk Çarşı Cd No:4 D:1, 34674 Üsküdar/İstanbul",+90 534 672 29 52,2,41.036414799999996,29.029691699999997,https://maps.google.com/?cid=13701953403335035769,,
İstanbul,Lokanta İMREN,Restoran,Sulu Yemek,4.6,982,"Valide-i Atik, Miroğlu Sk. 10/A, 34664 Üsküdar/İstanbul",+90 216 341 19 79,2,41.020204,29.030785,https://maps.google.com/?cid=1407808212732078034,,
İstanbul,Osmanlı Mutfağı Beyazıt,Türk restoranı,Türk restoranı,4.8,642,"Mimarhayrettin Mahallesi, Beyazıt, Gedikpaşa Cd. No:26/A, 34126 Fatih/İstanbul",+90 501 531 84 72,2,41.0076152,28.9671104,https://maps.google.com/?cid=7609826788177290889,,
İstanbul,Hanımeli Ev Yemekleri,Restoran,Sulu Yemek,4.7,532,"Cihangir, Ağa Hamamı Sk. No:6-a, 34433 Beyoğlu/İstanbul",,2,41.0317429,28.982196599999998,https://maps.google.com/?cid=4609703303265471770,,
İzmir,Esnaf Lokantası Mahmut Usta,Restoran,Sulu Yemek,4.3,1001,"Konak, 876. Sk. No:45, 35250 Konak/İzmir",+90 232 484 54 83,2,38.4208101,27.133309099999998,https://maps.google.com/?cid=13082727787502040212,,
Kastamonu,Bakıray Mantı Salonu,Restoran,Mantı,4.9,292,"Hepkebirler, Adalet Cd. No:13 D:B, 37100 Kastamonu Merkez/Kastamonu",+90 545 502 02 37,2,41.3765271,33.7747472,https://maps.google.com/?cid=16737180883985458079,,
Kastamonu,Aşçı İhsan Usta,Restoran,Lokanta,4.3,422,"Topçuoğlu Mahallesi Vali Enis Paşa Caddesi N0 21/B, Topçuoğlu, Vali Enis Paşa Sk. no:21, 37100 Kastamonu Merkez/Kastamonu",+90 534 088 18 28,2,41.3794533,33.7763124,https://maps.google.com/?cid=17004723225101007534,,
Kastamonu,Kastamonu Mantı Evi,Restoran,Mantı,4.7,176,"Topçuoğlu, Cumhuriyet Sk. NO:7/C, 37100 Kastamonu Merkez/Kastamonu",+90 552 352 25 25,2,41.3800983,33.777321199999996,https://maps.google.com/?cid=12805169559916461992,,
Kastamonu,Kuzeyin Yıldızı Sinop Mantısı,Mantıcı,Mantı,5,125,"Hepkebirler, Mahkemealtı Sk. No:5, 37100 Kastamonu Merkez/Kastamonu",+90 544 212 55 57,2,41.378014,33.773081,https://maps.google.com/?cid=2899305355905586930,,
Kastamonu,Hanımeli Restoran,Restoran,Lokanta,4.6,113,"Cebrail, Şht. Cemal Tepeli Sk. No:9, 37100 Kastamonu Merkez/Kastamonu",+90 533 424 08 28,2,41.379324800000006,33.7783237,https://maps.google.com/?cid=6554644158162502322,,
Kastamonu,Şehr-i Hisar,Aile restoranı,Aile restoranı,4.7,74,"Hisarardı Mahallesi, Şeyh Şaban-ı Veli Caddesi, Hisarardı, Aşağı Yol Sk., 37100 Kastamonu Merkez/Kastamonu",+90 545 551 19 96,2,41.374761199999995,33.7661653,https://maps.google.com/?cid=16795593168747775173,,
Kastamonu,Boğaziçi Lokantası,Restoran,Sulu Yemek,4.3,92,"Topçuoğlu, 37100 Kastamonu Merkez/Kastamonu",,2,41.378267799999996,33.775461199999995,https://maps.google.com/?cid=4513014927538190155,,
Kastamonu,Damak Tadım Restoran,Restoran,Lokanta,4.6,68,"Kuzeykent mah.kazım karabekir cad, Kuzeykent, toplu İş Merkezi 22/I, 37100 Kastamonu Merkez/Kastamonu",+90 366 215 87 87,1,41.4270426,33.7775913,https://maps.google.com/?cid=4637921491706701958,,
Kayseri,Ekrem usta adana sofrası Talas,Restoran,Sulu Yemek,4.8,693,"Yenidoğan, Timuçin Cd. 23 / A, 38280 Talas/Kayseri",+90 352 502 72 60,2,38.6978769,35.5437606,https://maps.google.com/?cid=3903268483771197634,,
Kayseri,UstaŞef Et Lokantası,Restoran,Et|Sulu Yemek,4.5,771,"Erenköy, Billur Bağları Cd. No:1/B, 38050 Melikgazi/Kayseri",+90 352 502 88 00,2,38.693737,35.513751899999995,https://maps.google.com/?cid=12698461388233484878,,
Kayseri,Elvan Lokantası,Restoran,Sulu Yemek,4.3,970,"Sahabiye, Teoman Sk. No:8, 38010 Kocasinan/Kayseri",+90 352 222 61 06,2,38.7238889,35.491111100000005,https://maps.google.com/?cid=608192832685483796,,
Kayseri,Taç Beyzade Mangal ve Döner,Restoran,Döner,4.9,288,"Yıldırım Beyazıt, Şenköşe Cd. No:3 D:F, 38030 Melikgazi/Kayseri",+90 540 352 38 36,2,38.7283347,35.533131399999995,https://maps.google.com/?cid=621848085500050072,,
Kayseri,ALTINBAŞ KELLE PÖÇ TANDIR. ÇORBA,Restoran,Çorba,4.6,280,"Camikebir mahallesi eski postane sokak, Cumhuriyet, Cami karşısı no 11 A, 38150 Melikgazi/Kayseri",+90 537 667 05 05,2,38.7206742,35.4859193,https://maps.google.com/?cid=11824142516231445618,,
Kırklareli,Birtat Köftecisi,Restoran,Köfte,4.5,2745,"Taşkın Apt, Karacaibrahim, Mustafa Kemal Blv. No:13, 39100 Kırklareli Merkez/Kırklareli",+90 288 214 01 63,2,41.73362900000001,27.225207899999997,https://maps.google.com/?cid=13788522532553411409,,
Kırklareli,Ayan Kardeşler Köftecisi,Restoran,Köfte,4.5,2540,"Karacaibrahim, Cumhuriyet Meydanı No:11, 39000 Kırklareli Merkez/Kırklareli",+90 288 214 96 95,2,41.7358511,27.2242537,https://maps.google.com/?cid=14442107293668434672,,
Kırklareli,Volkan Et Mangal Kır Lokantası,Restoran,Sulu Yemek,4.5,995,"Karakaş, Kavaklı Cd. No:63, 39000 Kırklareli Merkez/Kırklareli",+90 288 214 07 39,,41.7174998,27.2131217,https://maps.google.com/?cid=16654830344399427412,,
Kırklareli,Green Chef Lezzet Dünyasi,Restoran,Lokanta,4.3,1229,"Karakaş, Hasan Paşa Cd. No:28, 39060 Kırklareli Merkez/Kırklareli",+90 288 214 14 04,2,41.7335821,27.2203133,https://maps.google.com/?cid=1898940942955532207,,
Kırklareli,Küçük Mustafa Köftecisi,Restoran,Köfte,4.5,796,"Karacaibrahim, 39000 Kırklareli Merkez/Kırklareli",+90 288 212 76 12,2,41.734879,27.224504999999997,https://maps.google.com/?cid=3307395321075281700,,
Kırklareli,Damak Döner,Türk restoranı,Döner,4.4,413,"Karakaş, 39020 Kırklareli Merkez/Kırklareli",+90 288 214 56 82,2,41.733875499999996,27.220227,https://maps.google.com/?cid=8756414227286314917,,
Kırklareli,Gürdallar Restaurant,Restoran,Lokanta,4.5,283,"Cumhuriyet Cad, Şükrü Naili Cd. No:12, 39010 Kırklareli Merkez/Kırklareli",+90 288 214 81 44,2,41.734897,27.224235399999998,https://maps.google.com/?cid=10466555395109832587,,
